[2026-08-19T19:36:45.333Z] RECV | IPID:NEtOicQX2YjFjhnu8U/9bw | HDID:UuL8doZ2Q1jLraIZrahDEQ | ID#webAO#2.9.0#
[2026-08-19T19:36:45.334Z] RECV | IPID:C+q3QGYhEicDJ2K2/lbo+w | HDID:NLbAL3aU7g7PvBQkRokTow | ID#webAO#2.9.0#
[2026-08-19T19:36:45.866Z] SEND | IPID:VnG2nPTnAdDAcllcoIFADw | HDID: | decryptor#JSON#%
[2026-08-19T19:36:46.345Z] SEND | IPID:VnG2nPTnAdDAcllcoIFADw | HDID: | decryptor#JSON#%
[2026-08-19T19:36:46.400Z] RECV | IPID:VnG2nPTnAdDAcllcoIFADw | HDID: | HI#ebbee09b9a08c5486544002dfef03ae2#
[2026-08-19T19:36:46.401Z] SEND | IPID:VnG2nPTnAdDAcllcoIFADw | HDID:mws1YU5pvq3ySspmYFXlWA | ID#0#Nyathena#v1.0.2#%
[2026-08-19T19:36:46.453Z] RECV | IPID:VnG2nPTnAdDAcllcoIFADw | HDID:mws1YU5pvq3ySspmYFXlWA | ID#webAO#2.9.0#
[2026-08-19T19:36:46.453Z] SEND | IPID:VnG2nPTnAdDAcllcoIFADw | HDID:mws1YU5pvq3ySspmYFXlWA | PN#0#500#Dominos Pizza ft Hatsune Miku. Trashpit for trashbags. 16+ server. Skrapegropen Custom client STRONGLY RECOMMENDED if you DO NOT want to INSTALL 20GB of files. Also contains an auto updater: https://github.com/SyntaxNyah/AsyncAO/releases Client files for legacy AO2 clients. https://app.filen.io/<num>/f/f3b03173-e177-418e-98de-3e5dafd162ea<percent>233569674a675059356374395f4c732d7252414135646466542d386e5541647438 Custom webAO link https://webao.miku.pizza/client.html?mode=join<and>connect=wss://hatsune.miku.pizza:443<and>serverName=Skrapegropen Ban appeal requests @ fddfaadfskitta@proton.me#%
[2026-08-19T19:36:46.453Z] SEND | IPID:VnG2nPTnAdDAcllcoIFADw | HDID:mws1YU5pvq3ySspmYFXlWA | FL#noencryption#yellowtext#prezoom#flipping#customobjections#fastloading#deskmod#evidence#cccc_ic_support#arup#casing_alerts#modcall_reason#looping_sfx#additive#effects#y_offset#expanded_desk_mods#auth_packet#%
[2026-08-19T19:36:46.453Z] SEND | IPID:VnG2nPTnAdDAcllcoIFADw | HDID:mws1YU5pvq3ySspmYFXlWA | ASS#https://miku.pizza/base/#%
[2026-08-19T19:36:46.453Z] SEND | IPID:VnG2nPTnAdDAcllcoIFADw | HDID:mws1YU5pvq3ySspmYFXlWA | VS_CAPS#1#0#10#opus#48000#20#4000#%
[2026-08-19T19:36:46.531Z] RECV | IPID:VnG2nPTnAdDAcllcoIFADw | HDID:mws1YU5pvq3ySspmYFXlWA | askchaa#
[2026-08-19T19:36:46.531Z] SEND | IPID:VnG2nPTnAdDAcllcoIFADw | HDID:mws1YU5pvq3ySspmYFXlWA | SI#4421#0#1349#%
